Abcasia;Sukhumi
Afghanistan;Kabul
Albania;Tirana
Algeria;Algeri
Andorra;Andorra la Vella
Angola;Luanda
Antigua e Barbuda;Saint John's
Arabia Saudita;Riyad
Argentina;Buenos Aires
Armenia;Yerevan
Australia;Canberra
Austria;Vienna
Azauad;Gao
Azerbaigian;Baku
Bahamas;Nassau
Bahrein;Manama
Bangladesh;Dhaka
Barbados;Bridgetown
Belgio;Bruxelles
Belize;Belmopan
Benin;Porto-Novo
Bhutan;Thimphu
Bielorussia;Minsk
Birmania;Naypyidaw
Bolivia;Sucre
Bosnia ed Erzegovina;Sarajevo
Botswana;Gaborone
Brasile;Brasilia
Brunei;Bandar Seri Begawan
Bulgaria;Sofia
Burkina Faso;Ouagadougou
Burundi;Bujumbura
Cambogia;Phnom Penh
Camerun;Yaounde'
Canada;Ottawa
Capo Verde;Praia
Ciad;N'Djamena
Cile;Santiago
Cina;Pechino
Cipro;Nicosia
Cipro del Nord;Nicosia Nord
Citta' del Vaticano;Citta' del Vaticano
Colombia;Bogota'
Comore;Moroni
Corea del Nord;Pyongyang
Corea del Sud;Seul
Costa d'Avorio;Yamoussoukro
Costa Rica;San Jose'
Croazia;Zagabria
Cuba;L'Avana
Danimarca;Copenaghen
Dominica;Roseau
Ecuador;Quito
Egitto;Il Cairo
El Salvador;San Salvador
Emirati Arabi Uniti;Abu Dhabi
Eritrea;Asmara
Estonia;Tallinn
Etiopia;Addis Abeba
Figi;Suva
Filippine;Manila
Finlandia;Helsinki
Francia;Parigi
Gabon;Libreville
Gambia;Banjul
Georgia;Tbilisi
Germania;Berlino
Ghana;Accra
Giamaica;Kingston
Giappone;Tokyo
Gibuti;Gibuti
Giordania;Amman
Grecia;Atene
Grenada;Saint George's
Guatemala;Citta' del Guatemala
Guinea;Conakry
Guinea Equatoriale;Malabo
Guinea-Bissau;Bissau
Guyana;Georgetown
Haiti;Port-au-Prince
Honduras;Tegucigalpa
India;Nuova Delhi
Indonesia;Giakarta
Iran;Teheran
Iraq;Baghdad
Irlanda;Dublino
Islanda;Reykjavik
Isole Marshall;Majuro
Isole Salomone;Honiara
Israele;Gerusalemme
Italia;Roma
Kazakistan;Astana
Kenya;Nairobi
Kirghizistan;Bishkek
Kiribati;Bairiki
Kosovo;Pristina
Kuwait;Madinat al-Kuwait
Laos;Vientiane
Lesotho;Maseru
Lettonia;Riga
Libano;Beirut
Liberia;Monrovia
Libia;Tripoli
Liechtenstein;Vaduz
Lituania;Vilnius
Lussemburgo;Lussemburgo
Macedonia;Skopje
Madagascar;Antananarivo
Malawi;Lilongwe
Maldive;Male'
Malesia;Kuala Lumpur
Mali;Bamako
Malta;La Valletta
Marocco;Rabat
Mauritania;Nouakchott
Mauritius;Port Louis
Messico;Citta' del Messico
Micronesia;Palikir
Moldavia;Chisinau
Monaco;Monaco
Mongolia;Ulan Bator
Montenegro;Podgorica
Mozambico;Maputo
Nagorno-Karabakh;Stepanakert
Namibia;Windhoek
Nauru;Yaren
Nepal;Kathmandu
Nicaragua;Managua
Niger;Niamey
Nigeria;Abuja
Norvegia;Oslo
Nuova Zelanda;Wellington
Oman;Mascate
Ossezia del Sud;Tskhinvali
Paesi Bassi;Amsterdam
Pakistan;Islamabad
Palau;Ngerulmud
Panama';Panama'
Papua Nuova Guinea;Port Moresby
Paraguay;Asuncion
Peru';Lima
Polonia;Varsavia
Portogallo;Lisbona
Qatar;Doha
RD del Congo;Kinshasa
Regno Unito;Londra
Rep. Ceca;Praga
Rep. Centrafricana;Bangui
Rep. del Congo;Brazzaville
Rep. Dominicana;Santo Domingo
Romania;Bucarest
Ruanda;Kigali
Russia;Mosca
Saint Kitts e Nevis;Basseterre
Saint Vincent e Grenadine;Kingstown
Samoa;Apia
San Marino;Citta' di San Marino
Santa Lucia;Castries
Sao Tome' e Principe;Sao Tome'
Senegal;Dakar
Serbia;Belgrado
Seychelles;Port Victoria
Sierra Leone;Freetown
Singapore;Singapore
Siria;Damasco
Slovacchia;Bratislava
Slovenia;Lubiana
Somalia;Mogadiscio
Somaliland;Hargheisa
Spagna;Madrid
Sri Lanka;Sri Jayewardanapura Kotte
Stati Uniti;Washington D.C.
Sudafrica;Citta' del Capo 
Sudan;Khartum
Sudan del Sud;Juba
Suriname;Paramaribo
Svezia;Stoccolma
Svizzera;Berna
Swaziland;Mbabane
Tagikistan;Dushanbe
Taiwan;Taipei
Tanzania;Dodoma
Thailandia;Bangkok
Timor Est;Dili
Togo;Lome'
Tonga;Nuku'alofa
Transnistria;Tiraspol
Trinidad e Tobago;Port of Spain
Tunisia;Tunisi
Turchia;Ankara
Turkmenistan;Ashgabat
Tuvalu;Funafuti
Ucraina;Kiev
Uganda;Kampala
Ungheria;Budapest
Uruguay;Montevideo
Uzbekistan;Tashkent
Vanuatu;Port Vila
Venezuela;Caracas
Vietnam;Hanoi
Yemen;San'a
Zambia;Lusaka
Zimbabwe;Harare
